Provinsi / Kabupaten / Kota;2021;2022;2023
ACEH;63.24;63.92;63.56
SIMEULUE;64.95;63.72;64.79
ACEH SINGKIL;59.65;59.51;59.84
ACEH SELATAN;55.87;57.35;57.65
ACEH TENGGARA;58.1;58.94;59.4
ACEH TIMUR;47.84;57.53;57.52
ACEH TENGAH;71.82;72.52;71.78
ACEH BARAT;56.69;57.09;56.86
ACEH BESAR;48.11;47.65;47.2
PIDIE;66.02;64.75;66.3
BIREUEN;58.17;58.16;59.19
ACEH UTARA;51.27;52;49.18
ACEH BARAT DAYA;52.3;53.09;50.62
GAYO LUES;56.76;57.61;57.31
ACEH TAMIANG;75.01;75.64;76.54
NAGAN RAYA;61.74;63.09;63.54
ACEH JAYA;58.42;58.5;58.35
BENER MERIAH;52.53;51.72;52.68
PIDIE JAYA;55.04;56.33;52.15
KOTA BANDA ACEH;62.42;62.89;62.42
KOTA SABANG;75.66;75.06;75.43
KOTA LANGSA;65.47;64.75;65.54
KOTA LHOKSEUMAWE;58.26;65.72;65.7
KOTA SUBULUSSALAM;68.91;69.74;67.84
SUMATERA UTARA;67.79;69.33;69.18
NIAS;60.33;64.53;61.45
MANDAILING NATAL;71.9;73.56;73.73
TAPANULI SELATAN;69.25;70.95;71.61
TAPANULI TENGAH;74.39;74.56;76.81
TAPANULI UTARA;66.36;63.2;63.82
TOBA SAMOSIR;59.51;60.66;61.53
LABUHAN BATU;71.96;72.24;70.39
ASAHAN;68.54;68.37;71.05
SIMALUNGUN;62.4;62.53;62.35
DAIRI;61.11;62.57;62.34
KARO;81.53;82.28;82.74
DELI SERDANG;55.14;54.72;59.68
LANGKAT;66.04;67.5;67.16
NIAS SELATAN;67.04;69.03;69.45
HUMBANG HASUNDUTAN;72.76;73.12;70.85
PAKPAK BHARAT;66.97;67.11;67.9
SAMOSIR;78.75;81.05;80.13
SERDANG BEDAGAI;65.49;65.98;67.48
BATU BARA;63.16;66.84;66.23
PADANG LAWAS UTARA;68.14;68.98;67.41
PADANG LAWAS;57.61;56.37;58.95
LABUHAN BATU SELATAN;64.56;66.45;61.03
LABUHAN BATU UTARA;46.14;48.77;45.52
NIAS UTARA;67.03;62.19;69.4
NIAS BARAT;65.88;66.61;66.95
KOTA SIBOLGA;71.84;72.84;75.14
KOTA TANJUNG BALAI;63.46;64.8;66.84
KOTA PEMATANG SIANTAR;62.43;62.65;62.96
KOTA TEBING TINGGI;53.78;54.15;54.63
KOTA MEDAN;63.91;64.31;62.35
KOTA BINJAI;68.32;70.65;70.54
KOTA PADANGSIDIMPUAN;65.99;66.43;66.85
KOTA GUNUNGSITOLI;63.28;63.59;64.2
SUMATERA BARAT;65.12;65.48;65.34
KEPULAUAN MENTAWAI;47.36;47.81;48.5
PESISIR SELATAN;53.39;56.5;53.79
SOLOK;61.57;57.85;59.38
SIJUNJUNG;60.46;59.43;61.72
TANAH DATAR;59.7;58.83;59.46
PADANG PARIAMAN;46.64;47.01;47.79
AGAM;63.07;64.45;64.43
LIMA PULUH KOTA;50.59;48.4;49.4
PASAMAN;62.74;62.96;61.01
SOLOK SELATAN;47.86;48.04;48.7
DHARMAS RAYA;50.66;51.33;51.83
PASAMAN BARAT;60.38;61.05;61.04
KOTA PADANG;65.33;67.99;68.27
KOTA SOLOK;63.09;63.61;64.23
KOTA SAWAH LUNTO;65.48;65.62;62.55
KOTA PADANG PANJANG;66.62;67.82;67.58
KOTA BUKITTINGGI;60.19;63.37;60.96
KOTA PAYAKUMBUH;71.58;71.21;71.09
KOTA PARIAMAN;53.42;52.62;53.91
RIAU;70.59;71.16;72.29
KUANTAN SINGINGI;56.32;57.75;61.81
INDRAGIRI HULU;51.46;51.32;56.27
INDRAGIRI HILIR;64.5;65.33;65.47
PELALAWAN;49.48;51.39;54.51
SIAK;42.19;43.03;42.46
KAMPAR;53.62;55.56;55.48
ROKAN HULU;51.71;52.4;52.15
BENGKALIS;53.5;54.23;54.01
ROKAN HILIR;61.94;59.51;59.18
KEPULAUAN MERANTI;61.88;61.72;63.19
KOTA PEKANBARU;68.63;68;68.04
KOTA DUMAI;52.54;52.58;52.93
JAMBI;65.93;67.86;68.07
KERINCI;60;60.26;65.16
MERANGIN;58.51;58.51;56.71
SAROLANGUN;60.25;58.68;61.08
BATANG HARI;73.12;71.85;73.87
MUARO JAMBI;63.05;63.7;62.97
TANJUNG JABUNG TIMUR;69.28;68.98;69.16
TANJUNG JABUNG BARAT;73.2;73.46;73.39
TEBO;51.66;49.67;51.23
BUNGO;59.19;58.68;56.05
KOTA JAMBI;67.88;68.6;68.71
KOTA SUNGAI PENUH;52.78;53.4;52.51
SUMATERA SELATAN;73.88;74.89;76.58
OGAN KOMERING ULU;49.69;49.56;52.45
OGAN KOMERING ILIR;59.99;61.26;61.87
MUARA ENIM;71.65;69.99;69.66
LAHAT;66.89;69.4;69.3
MUSI RAWAS;62.9;65.48;65.44
MUSI BANYUASIN;59.97;60.35;61.78
BANYU ASIN;60.38;60.6;57.73
OGAN KOMERING ULU SELATAN;55.83;57.81;57.8
OGAN KOMERING ULU TIMUR;57.86;59.65;56.77
OGAN ILIR;58.41;61.27;61.8
EMPAT LAWANG;58.3;55.03;58.39
PENUKAL ABAB LEMATANG ILIR;47.06;48.09;51.22
MUSI RAWAS UTARA;46.79;48.92;49.21
KOTA PALEMBANG;57.52;57.85;62.15
KOTA PRABUMULIH;60.2;58.08;58.39
KOTA PAGAR ALAM;57.77;56.69;57.43
KOTA LUBUKLINGGAU;60.81;66.28;65.59
BENGKULU;70.22;70.13;70.06
BENGKULU SELATAN;54.62;55.63;55.87
REJANG LEBONG;65.7;63.57;63.13
BENGKULU UTARA;62.52;62.39;61.88
KAUR;61.72;62.29;62.89
SELUMA;61.92;62.98;59.07
MUKOMUKO;56.26;55.42;56.32
LEBONG;70.41;74.79;74.25
KEPAHIANG;66.96;67.12;66.41
BENGKULU TENGAH;77.1;76.85;74.93
KOTA BENGKULU;77.67;77.54;75.94
LAMPUNG;67.96;68.24;68.16
LAMPUNG BARAT;69.14;65.92;68.61
TANGGAMUS;56.39;56.54;55.97
LAMPUNG SELATAN;59.27;59.37;63.28
LAMPUNG TIMUR;63.14;62.34;61.24
LAMPUNG TENGAH;61.01;63.27;63.26
LAMPUNG UTARA;64.94;64.29;64.28
WAY KANAN;61.82;60.36;61.22
TULANGBAWANG;64.76;66.95;66.97
PESAWARAN;73.7;71.98;75.3
PRINGSEWU;65.86;66.13;65.98
MESUJI;68.45;68.5;68.43
TULANGBAWANG BARAT;52.1;56.72;56.53
PESISIR BARAT;54.93;55.37;55.43
KOTA BANDAR LAMPUNG;71.69;72.33;71.98
KOTA METRO;74.23;74.6;74.5
KEP. BANGKA BELITUNG;57.49;58.2;58.22
BANGKA;62.34;61.67;61.19
BELITUNG;53.02;53.42;53.47
BANGKA BARAT;61.77;64.62;64.15
BANGKA TENGAH;56.81;54.67;63.29
BANGKA SELATAN;48.65;50.14;49.45
BELITUNG TIMUR;55.1;55.64;54.92
KOTA PANGKAL PINANG;61.19;61.6;65.1
KEP. RIAU;58.97;59.05;0
KARIMUN;63.89;63.47;57.07
BINTAN;73.04;71.98;71.93
NATUNA;42.95;42.96;50.13
LINGGA;48.5;48.44;48.94
KEPULAUAN ANAMBAS;67.66;67.36;62.29
KOTA BATAM;58.38;58.65;58.26
KOTA TANJUNG PINANG;76.64;76.68;76.97
DKI JAKARTA;75.42;75.3;76.31
KEPULAUAN SERIBU;64.15;64.21;65.08
KODYA JAKARTA SELATAN;75.95;75.59;76.6
KODYA JAKARTA TIMUR;74.36;74.43;76.18
KODYA JAKARTA PUSAT;77.57;77.75;79.02
KODYA JAKARTA BARAT;74.87;74.92;75.77
KODYA JAKARTA UTARA;75.34;75.61;75.33
JAWA BARAT;70.62;71.22;71.74
BOGOR;55.86;55.07;55.76
SUKABUMI;57.45;61.52;62.28
CIANJUR;59.7;59.74;60.3
BANDUNG;68.68;69.26;70.19
GARUT;64.87;73.74;72.08
TASIKMALAYA;63.79;65.4;61.52
CIAMIS;63.65;65.79;65.41
KUNINGAN;73.04;73.67;73.47
CIREBON;72.52;73.15;74.33
MAJALENGKA;60.04;59.82;57.91
SUMEDANG;70.13;72.23;72.6
INDRAMAYU;70.93;68.62;71.84
SUBANG;70.77;73.14;71.61
PURWAKARTA;76.88;76.8;77.15
KARAWANG;74.83;73.28;70.65
BEKASI;65.24;63.62;65.16
BANDUNG BARAT;65.83;65.32;66.97
PANGANDARAN;75.98;76.09;76.53
KOTA BOGOR;72.33;72.56;71.13
KOTA SUKABUMI;66.81;66.24;69.12
KOTA BANDUNG;70.81;72.36;73.01
KOTA CIREBON;77.64;78.07;77.03
KOTA BEKASI;66.57;68.3;67.74
KOTA DEPOK;76.53;77.94;76.82
KOTA CIMAHI;74.07;74.36;75.62
KOTA TASIKMALAYA;59.59;59.99;59.81
KOTA BANJAR;54.32;55.08;55.58
JAWA TENGAH;71.64;73.78;74.18
CILACAP;70.67;70.9;70.38
BANYUMAS;70.1;72.77;73.16
PURBALINGGA;70.99;70.09;71.94
BANJARNEGARA;73.79;73.8;74.3
KEBUMEN;66.86;66.87;67.78
PURWOREJO;70.09;71.13;70.77
WONOSOBO;48.68;49.19;48.92
MAGELANG;69.64;69.66;70.52
BOYOLALI;82.23;82.94;82.98
KLATEN;71.88;69.39;73.04
SUKOHARJO;77.69;79.16;79.28
WONOGIRI;71.55;72.97;72.64
KARANGANYAR;73.38;73.69;71.65
SRAGEN;67.14;69.13;67.91
GROBOGAN;58.03;58.98;58.82
BLORA;64.36;62.64;60.86
REMBANG;65.88;66.96;66.98
PATI;66.65;68.65;67.73
KUDUS;65.54;65.69;66.32
JEPARA;56.66;57.23;58.78
DEMAK;66.83;67.82;68.56
SEMARANG;78.35;75.78;77.86
TEMANGGUNG;84.56;84.8;84.38
KENDAL;76.95;77.05;77.58
BATANG;64.43;64.44;65.63
PEKALONGAN;70.54;71.76;69.78
PEMALANG;81.27;81.57;81.48
TEGAL;72.32;73.76;73.43
BREBES;61.89;61.89;62.14
KOTA MAGELANG;78.65;80.13;79.51
KOTA SURAKARTA;79.32;81.1;81.92
KOTA SALATIGA;79.08;79.29;79.48
KOTA SEMARANG;73.64;73.93;73.86
KOTA PEKALONGAN;57.87;61.37;65.31
KOTA TEGAL;63.34;64.8;65.31
DI YOGYAKARTA;76.57;76.87;78.46
KULON PROGO;71.41;72.27;71.68
BANTUL;65.27;65.03;70.35
GUNUNG KIDUL;76.7;77.93;77.3
SLEMAN;81.31;81.65;79.94
KOTA YOGYAKARTA;73.18;75.5;75.7
JAWA TIMUR;72.36;74.42;74.9
PACITAN;70.45;68.12;73.24
PONOROGO;67.63;67.69;68.52
TRENGGALEK;61.43;62.15;62.63
